COD_ID;LGRD;BRR;CLAS_SUB;CNAE;ARE_LOC;POINT_X;POINT_Y
3003465004;RUA SAO VICENTE DE PAULA 199;PROFESSOR ELBERTE LUIZ;RE1;99.99-2/9;UB;-45.12493748;-20.90278768
3004654525;RUA SAO VICENTE DE PAULA 264;PROFESSOR ELBERTE LUIZ;RE1;99.99-2/9;UB;-45.12535133;-20.90323916
3006707987;AV CAMBRAIA NASCIMENTO 293;PROFESSOR ELBERTE LUIZ;RE1;99.99-2/9;UB;-45.1245153;-20.90389938
3001321024;RUA AUGUSTO TEIXEIRA 62;ALTO DA COLINA;RE1;99.99-2/9;UB;-45.1279459;-20.90124938
3001321150;RUA EVARISTO CARDOSO 265;CENTRO;RE1;99.99-2/9;UB;-45.12622539;-20.90207291
3001321224;RUA JOSE FONTOURA 3;CENTRO;RE1;99.99-2/9;UB;-45.12805149;-20.90103244
3001321253;RUA JUVENAL GERALDO MENDES 110;PROFESSOR ELBERTE LUIZ;RE2;99.99-2/9;UB;-45.12475317;-20.90084513
3002402365;PCA SATURNINO CARDOSO 168;CENTRO;RE1;99.99-2/9;UB;-45.13128966;-20.89839155
3002402501;RUA JOAO GRANDE 113;CENTRO;RE1;99.99-2/9;UB;-45.13017744;-20.90207898
3002402509;AV MAGALHAES PINTO 179;CENTRO;RE1;99.99-2/9;UB;-45.13048416;-20.90094025
3002402580;PCA JOAO ALVES DUCA 263;CENTRO;RE1;99.99-2/9;UB;-45.12804095;-20.89994816
3002402588;RUA PADRE FRANCISCO 62;CENTRO;RE1;99.99-2/9;UB;-45.1279923;-20.89927052
3002402617;RUA CORONEL FRANCISCO CAMBRAIA 407;CENTRO;RE2;99.99-2/9;UB;-45.12671298;-20.89872933
3002402620;RUA CORONEL FRANCISCO CAMBRAIA 307;CENTRO;RE1;99.99-2/9;UB;-45.12761666;-20.89852083
3002402677;AV MAGALHAES PINTO 122;CENTRO;RE1;99.99-2/9;UB;-45.13001267;-20.9005611
3003626084;RUA EVARISTO CARDOSO 157;CENTRO;RE1;99.99-2/9;UB;-45.12685946;-20.9014038
3003797516;AV CAMBRAIA NASCIMENTO 31;PROFESSOR ELBERTE LUIZ;RE1;99.99-2/9;UB;-45.12390772;-20.90173125
3004095167;AV MAGALHAES PINTO 176;CENTRO;RE1;99.99-2/9;UB;-45.13048416;-20.90094025
3004211659;RUA BENTO RESENDE POUCAS 161;PROFESSOR ELBERTE LUIZ;RE2;99.99-2/9;UB;-45.1249367;-20.90184796
3004550553;RUA GENARO JOAQUIM PIMENTA 23;PROFESSOR ELBERTE LUIZ;RE1;99.99-2/9;UB;-45.12338866;-20.90195752
3005020565;RUA JUVENAL GERALDO MENDES 279;PROFESSOR ELBERTE LUIZ;RE2;99.99-2/9;UB;-45.12324415;-20.9016233
3005110423;AV NAGIB GIBRAN 182;CENTRO;RE1;99.99-2/9;UB;-45.13035878;-20.90050663
3010672075;RUA FELICIANO ANDRADE 32;CENTRO;RE1;99.99-2/9;UB;-45.12816558;-20.89951435
3010785194;PCA SATURNINO CARDOSO 151;CENTRO;RE1;99.99-2/9;UB;-45.13077015;-20.8980757
3011806501;RUA ANTONIO A CARVALHO 30;CENTRO;RE1;99.99-2/9;UB;-45.12471346;-20.89933619
3012896072;RUA JUVENAL GERALDO MENDES 95;PROFESSOR ELBERTE LUIZ;RE2;99.99-2/9;UB;-45.12505116;-20.90073648
3013105391;RUA CORONEL FRANCISCO CAMBRAIA 400;CENTRO;RE1;99.99-2/9;UB;-45.12671298;-20.89872933
3013436271;PCA JOAO ALVES DUCA 121;CENTRO;RE1;99.99-2/9;UB;-45.12915585;-20.89936
3006730908;RUA TRAIRA 150;JARDIM BEIRA RIO;RE1;99.99-2/9;UB;-45.13188285;-20.90599918
3011486471;RUA MANDI 95;JARDIM BEIRA RIO;RE2;99.99-2/9;UB;-45.13127754;-20.9065689
3012870935;RUA DOURADO 152;JARDIM BEIRA RIO;RE1;99.99-2/9;UB;-45.13153829;-20.90785177
3001320824;RUA JOAO GRANDE 269;ALTO DA COLINA;RE2;99.99-2/9;UB;-45.12934178;-20.9031368
3001320856;RUA VARICCO 111;ALTO DA COLINA;RE1;99.99-2/9;UB;-45.12876407;-20.90223366
3001320918;RUA MAESTRO SEBASTIAO MELO 171;ALTO DA COLINA;RE1;99.99-2/9;UB;-45.12730459;-20.90472862
3001320922;RUA MAESTRO SEBASTIAO MELO 218;ALTO DA COLINA;RE1;99.99-2/9;UB;-45.12704512;-20.9049276
3001320924;RUA MAESTRO SEBASTIAO MELO 242;ALTO DA COLINA;RE1;99.99-2/9;UB;-45.12674718;-20.90510853
3001320947;RUA JUCA FORTUNATO 86;ALTO DA COLINA;RE1;99.99-2/9;UB;-45.12643037;-20.9057232
3001321000;RUA JOSE BERNARDINO 295;CENTRO;RE1;99.99-2/9;UB;-45.12796616;-20.90246015
3001321111;RUA AUGUSTO TEIXEIRA 293;ALTO DA COLINA;RE1;99.99-2/9;UB;-45.12699555;-20.90314759
3002402443;RUA JOAO LUIZ 463;CENTRO;RE1;99.99-2/9;UB;-45.12710427;-20.90664434
3002402481;RUA QUINCA CAMBRAIA 237;CENTRO;RE2;99.99-2/9;UB;-45.13073653;-20.90366884
3002402489;RUA QUINCA CAMBRAIA 131;CENTRO;RE1;99.99-2/9;UB;-45.13099539;-20.90278314
